id,movies_name,year,timing_min,rating_10,votes,genre,language
tt14344696,Naik Parveen,1975,,6.27478459199189,42.0,drama,urdu
tt4219300,Gollu Aur Pappu,2014,,3.7,101.0,comedy,hindi
tt11423066, Alif Laila,,,6.27478459199189,42.0,"adventure, fantasy",urdu
tt14218668,Shivani,,,6.27478459199189,42.0,crime,hindi
tt10152214,Heer Maan Ja,2019,,5.2,187.0,"action, comedy, family",punjabi
tt0213929,Nayakudu Vinayakudu,1980,,6.0,6.0,drama,telugu
tt1774473,Love You to Death,2012,,5.3,7.0,"comedy, thriller",hindi
tt0231204,Awara Badal,1964,,5.9,14.0,"action, adventure, drama",bhojpuri
tt6555524,Gharer Bou,1990,,6.27478459199189,42.0,drama,bengali
tt0237095,Chief Sahib,1996,,5.0,37.0,"action, comedy, romance",urdu
tt6355584,Revelations,2016,,7.3,135.0,drama,tamil
tt8698288,Murder,1994,,6.27478459199189,42.0,"crime, drama, mystery",kannada
tt0351120,Ivide Ingane,1984,,6.27478459199189,42.0,"action, drama",malayalam
tt3376048,Porter Ponnusami,1979,,6.27478459199189,42.0,drama,tamil
tt9849992,Amar Premi Sheni Vijanand,1974,,6.27478459199189,42.0,drama,gujarati
tt1905076,Tum Hi To Ho...,2011,,3.9,10.0,"drama, mystery, thriller",hindi
tt0261567,Bilhana,1948,,6.27478459199189,42.0,drama,tamil
tt1334254,Maharathi,2008,,7.1,967.0,"crime, drama, mystery",hindi
tt13451520,Adyathe Maravi,2019,,6.27478459199189,42.0,"short, thriller",malayalam
tt1645083,Hum Ek Hain,1961,,6.27478459199189,42.0,drama,urdu
tt0334187,Puzha,1980,,6.27478459199189,42.0,drama,malayalam
tt13821112,Common Opinion,2016,,6.27478459199189,42.0,"documentary, short",urdu
tt0290258,Paandav,1995,,4.1,533.0,"action, drama",hindi
tt0322943,Khaidi,1987,,6.27478459199189,42.0,drama,telugu
tt0029518,Savitri,1937,,6.27478459199189,42.0,fantasy,hindi
tt1830782,Raam,2009,,6.6,136.0,"comedy, drama",kannada
